Availability 30;Availability 60;Availability 90;Availability 365;Accommodates;Bathrooms;Bedrooms;Beds;Price;Cleaning Fee;Guests Included;Neighbourhood Cleansed_mean_encoded;Neighbourhood Group Cleansed_mean_encoded;Room Type_mean_encoded
0;0;0;0;4;1.0;2.0;2.0;70.0;30.0;2;78.90445859872611;72.77179221548025;87.29660587639312
5;7;12;256;6;2.0;2.0;4.0;145.0;50.0;5;82.39354838709677;71.9791013584117;87.29660587639312
30;60;90;365;2;2.0;1.0;1.0;60.0;0.0;1;56.62637362637363;71.9791013584117;34.25513598121698
9;39;69;344;2;1.0;1.0;1.0;35.0;0.0;1;36.888888888888886;39.35897435897436;87.29660587639312
28;58;88;363;1;1.5;1.0;1.0;26.0;0.0;1;85.58936170212766;72.77179221548025;34.25513598121698
30;60;90;365;2;2.0;1.0;2.0;45.0;0.0;1;56.62637362637363;71.9791013584117;34.25513598121698
10;40;70;345;4;1.0;2.0;2.0;75.0;40.0;1;45.42696629213483;46.363751584283904;87.29660587639312
6;16;25;272;4;1.0;1.0;2.0;59.0;0.0;2;82.51466666666667;72.77179221548025;87.29660587639312
6;11;24;234;4;1.0;1.0;2.0;60.0;0.0;2;78.0656192236599;72.77179221548025;87.29660587639312
10;40;70;345;2;1.0;0.0;2.0;70.0;30.0;1;67.44444444444444;51.07333333333333;87.29660587639312
0;2;3;154;2;1.0;0.0;1.0;32.0;20.0;2;60.342919153553986;72.77179221548025;87.29660587639312
7;19;39;283;2;1.0;1.0;1.0;25.0;0.0;1;38.40425531914894;57.39890710382514;34.25513598121698
6;25;25;144;6;2.0;3.0;5.0;80.0;45.0;3;49.3;39.35897435897436;87.29660587639312
5;15;27;251;14;2.0;4.0;5.0;250.0;69.0;9;67.61974944731024;72.77179221548025;87.29660587639312
23;30;30;36;2;1.0;1.0;2.0;28.0;10.0;1;45.42696629213483;46.363751584283904;34.25513598121698
11;28;52;143;5;1.0;2.0;4.0;75.0;36.0;4;103.72222222222223;70.86238532110092;87.29660587639312
15;45;75;350;1;1.0;2.0;2.0;70.0;0.0;1;60.342919153553986;72.77179221548025;34.25513598121698
8;38;68;68;4;1.5;2.0;4.0;99.0;35.0;1;82.39354838709677;71.9791013584117;87.29660587639312
0;0;6;281;1;2.0;1.0;1.0;36.0;30.0;1;85.58936170212766;72.77179221548025;34.25513598121698
